date,fund_name,amc,category,isin,company,sector,pct_nav,market_value
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE752H01013,Zomato Ltd,Consumer,1.4691,279.67
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE663F01024,Info Edge India Ltd,IT,1.288,245.2
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE154A01033,Adani Enterprises Ltd,Industrials,1.2435,236.73
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE029A01011,Bharat Petroleum Corporation Ltd,Energy,1.2304,234.23
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE787D01026,Bajaj Finance Ltd,Financials,1.1273,214.6
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE134E01011,Power Finance Corporation Ltd,Financials,1.106,210.55
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE280A01028,Titan Company Ltd,Consumer,0.8999,171.31
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE910O01011,Apex Systems 051 Ltd,IT,0.884,168.29
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE157S01003,Sundar Finance 055 Ltd,Financials,0.8498,161.78
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE081A01020,Tata Steel Ltd,Materials,0.7741,147.37
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE522W01010,Vertex Infra 057 Ltd,Industrials,0.7307,139.1
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE404D01044,Apex Systems 061 Ltd,IT,0.6554,124.77
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE255N01078,Nova Industries 060 Ltd,Industrials,0.5945,113.17
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE641Q01080,Bharat Energy 072 Ltd,Energy,0.4923,93.72
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE301I01004,Crest Materials 076 Ltd,Materials,0.4807,91.51
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE644L01038,Prism Auto 078 Ltd,Auto,0.4612,87.8
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE064I01022,Zenith Healthcare 074 Ltd,Healthcare,0.4467,85.04
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE206F01019,Sundar Finance 075 Ltd,Financials,0.4467,85.04
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE688D01059,Crest Materials 086 Ltd,Materials,0.4061,77.31
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE891J01043,Apex Systems 091 Ltd,IT,0.3465,65.96
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE148Q01036,Sundar Finance 095 Ltd,Financials,0.343,65.3
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE059N01063,Bharat Energy 112 Ltd,Energy,0.2441,46.47
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE472Z01092,Orion Consumer 113 Ltd,Consumer,0.2397,45.63
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE417B01055,Sundar Finance 105 Ltd,Financials,0.237,45.12
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE832T01059,Vertex Infra 117 Ltd,Industrials,0.2302,43.82
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE212C01092,Nova Industries 130 Ltd,Industrials,0.2227,42.4
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE900V01003,Crest Materials 136 Ltd,Materials,0.1799,34.25
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE970U01074,Bharat Energy 132 Ltd,Energy,0.1786,34.0
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE666R01091,Harbor Digital 129 Ltd,Telecom,0.1772,33.73
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE396L01032,Prism Auto 138 Ltd,Auto,0.1654,31.49
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE388X01012,Nova Industries 140 Ltd,Industrials,0.131,24.94
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE552E01023,Sundar Finance 135 Ltd,Financials,0.1251,23.82
2023-01-31,Aravali ELSS Fund,Aravali,ELSS,INE553N01024,Vertex Infra 147 Ltd,Industrials,0.1249,23.78
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE002A01018,Reliance Industries Ltd,Energy,3.8153,819.26
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE009A01021,Infosys Ltd,IT,3.693,793.0
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE040A01034,HDFC Bank Ltd,Financials,3.587,770.24
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE585B01010,Maruti Suzuki India Ltd,Auto,3.4622,743.44
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE154A01025,ITC Ltd,Consumer,3.4233,735.09
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE467B01029,Tata Consultancy Services Ltd,IT,3.2356,694.78
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE030A01027,Hindustan Unilever Ltd,Consumer,3.1946,685.98
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE062A01020,State Bank of India,Financials,3.1518,676.79
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,CASH_EQV,Cash and Equivalents,Cash and Equivalents,2.8865,619.82
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE397D01024,Bharti Airtel Ltd,Telecom,2.6306,564.87
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE192A01025,Tata Consumer Products Ltd,Consumer,2.2829,490.21
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE860A01027,HCL Technologies Ltd,IT,2.2118,474.94
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE991O01083,Prism Auto 118 Ltd,Auto,2.2086,474.25
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE522F01014,Coal India Ltd,Energy,2.1802,468.15
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE596R01004,Sundar Finance 115 Ltd,Financials,2.1479,461.22
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE134F01076,Harbor Digital 109 Ltd,Telecom,2.1468,460.98
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE044A01036,Sun Pharmaceutical Industries Ltd,Healthcare,2.0941,449.67
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE248D01052,Zenith Healthcare 104 Ltd,Healthcare,2.0913,449.06
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE512X01038,Zenith Healthcare 124 Ltd,Healthcare,2.0496,440.11
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE481G01011,UltraTech Cement Ltd,Materials,1.971,423.23
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE101A01026,Mahindra & Mahindra Ltd,Auto,1.7977,386.02
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE361B01024,Divi Laboratories Ltd,Healthcare,1.7376,373.11
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE155A01022,Tata Motors Ltd,Auto,1.7366,372.9
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE218B01063,Apex Systems 111 Ltd,IT,1.7214,369.64
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE227L01039,Prism Auto 128 Ltd,Auto,1.6967,364.33
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE213A01029,Oil and Natural Gas Corporation Ltd,Energy,1.5342,329.44
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE975E01058,Orion Consumer 153 Ltd,Consumer,1.4836,318.57
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE831N01055,Vertex Infra 137 Ltd,Industrials,1.483,318.44
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE787D01026,Bajaj Finance Ltd,Financials,1.46,313.51
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE849Z01038,Nova Industries 150 Ltd,Industrials,1.4539,312.2
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE752H01013,Zomato Ltd,Consumer,1.3866,297.74
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE666R01091,Harbor Digital 129 Ltd,Telecom,1.3134,282.03
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE029A01011,Bharat Petroleum Corporation Ltd,Energy,1.3038,279.96
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE122K01085,Vertex Infra 157 Ltd,Industrials,1.2442,267.17
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE159A01016,GlaxoSmithKline Pharma Ltd,Healthcare,1.179,253.17
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE397C01098,Sundar Finance 155 Ltd,Financials,1.1533,247.65
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE081A01020,Tata Steel Ltd,Materials,1.1265,241.89
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE722S01083,Sundar Finance 165 Ltd,Financials,1.0766,231.18
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE945H01065,Bharat Energy 172 Ltd,Energy,1.0727,230.34
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE437A01024,Apollo Hospitals Enterprise Ltd,Healthcare,0.9909,212.78
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE271C01023,DLF Ltd,Real Estate,0.9828,211.04
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE910O01011,Apex Systems 051 Ltd,IT,0.8835,189.71
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE588P01018,Prism Auto 178 Ltd,Auto,0.8142,174.83
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE522W01010,Vertex Infra 057 Ltd,Industrials,0.8108,174.1
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE808L01018,Prism Auto 198 Ltd,Auto,0.8054,172.94
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE710D01060,Bharat Energy 212 Ltd,Energy,0.7991,171.59
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE641Q01018,Apex Systems 171 Ltd,IT,0.7791,167.3
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE132J01001,Apex Systems 231 Ltd,IT,0.7739,166.18
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE795G01014,HDFC Life Insurance Company Ltd,Financials,0.7394,158.77
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE474H01048,Crest Materials 226 Ltd,Materials,0.7374,158.34
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE240F01077,Vertex Infra 197 Ltd,Industrials,0.7154,153.62
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE850V01003,Orion Consumer 193 Ltd,Consumer,0.6954,149.32
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE404D01044,Apex Systems 061 Ltd,IT,0.6738,144.69
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE260L01010,Prism Auto 248 Ltd,Auto,0.6644,142.67
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE657L01006,Sundar Finance 215 Ltd,Financials,0.6561,140.88
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE626O01025,Prism Auto 188 Ltd,Auto,0.6345,136.25
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE509Q01028,Prism Auto 058 Ltd,Auto,0.6062,130.17
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE593E01023,Crest Materials 216 Ltd,Materials,0.6007,128.99
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE391S01035,Harbor Digital 059 Ltd,Telecom,0.5583,119.88
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE891M01038,Bharat Energy 082 Ltd,Energy,0.5575,119.71
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE101V01012,Nova Industries 070 Ltd,Industrials,0.4562,97.96
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE966I01085,Nova Industries 080 Ltd,Industrials,0.4503,96.69
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE325E01013,Zenith Healthcare 084 Ltd,Healthcare,0.4154,89.2
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE233N01055,Vertex Infra 087 Ltd,Industrials,0.4101,88.06
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE216O01045,Crest Materials 096 Ltd,Materials,0.3732,80.14
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE536Z01079,Prism Auto 088 Ltd,Auto,0.3486,74.85
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE095G01008,Orion Consumer 093 Ltd,Consumer,0.341,73.22
2023-01-31,Aravali Flexi Cap Fund,Aravali,Flexi Cap,INE148Q01036,Sundar Finance 095 Ltd,Financials,0.3015,64.74
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE009A01021,Infosys Ltd,IT,9.131200000000002,1913.53
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE062A01020,State Bank of India,Financials,6.5627,1375.28
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE397D01024,Bharti Airtel Ltd,Telecom,6.1774,1294.54
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE467B01029,Tata Consultancy Services Ltd,IT,5.872,1230.54
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE192A01025,Tata Consumer Products Ltd,Consumer,5.6803,1190.36
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE090A01021,ICICI Bank Ltd,Financials,5.5687,1166.98
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE213A01029,Oil and Natural Gas Corporation Ltd,Energy,5.3832,1128.1
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE154A01025,ITC Ltd,Consumer,5.1727,1083.99
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE752H01013,Zomato Ltd,Consumer,4.2428,889.12
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE860A01027,HCL Technologies Ltd,IT,4.2341,887.3
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE752E01010,Power Grid Corporation of India Ltd,Utilities,4.1822,876.42
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE089A01023,Dr Reddy Laboratories Ltd,Healthcare,4.0834,855.72
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE154A01033,Adani Enterprises Ltd,Industrials,3.7414,784.05
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE134E01011,Power Finance Corporation Ltd,Financials,2.8819,603.93
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE795G01014,HDFC Life Insurance Company Ltd,Financials,2.6501,555.35
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE158A01026,Hero MotoCorp Ltd,Auto,2.6336,551.9
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE159A01016,GlaxoSmithKline Pharma Ltd,Healthcare,2.3865,500.11
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE522W01010,Vertex Infra 057 Ltd,Industrials,2.1702,454.79
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE038A01020,Hindalco Industries Ltd,Materials,2.1148,443.18
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE313Y01089,Crest Materials 056 Ltd,Materials,2.0929,438.59
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE611D01089,Sundar Finance 065 Ltd,Financials,1.7173,359.88
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE910O01011,Apex Systems 051 Ltd,IT,1.6842,352.94
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE103F01033,Orion Consumer 063 Ltd,Consumer,1.5888,332.95
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE281I01075,Apex Systems 071 Ltd,IT,1.525,319.58
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE641Q01080,Bharat Energy 072 Ltd,Energy,1.4574,305.41
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE391S01035,Harbor Digital 059 Ltd,Telecom,1.3884,290.95
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE064I01022,Zenith Healthcare 074 Ltd,Healthcare,1.2947,271.32
2023-01-31,Aravali Focused Fund,Aravali,Focused,CASH_EQV,Cash and Equivalents,Cash and Equivalents,1.2464,261.2
2023-01-31,Aravali Focused Fund,Aravali,Focused,INE966I01085,Nova Industries 080 Ltd,Industrials,1.1357,238.0
2023-01-31,Aravali Index Fund,Aravali,Index,INE002A01018,Reliance Industries Ltd,Energy,12.4622,3205.78
2023-01-31,Aravali Index Fund,Aravali,Index,INE040A01034,HDFC Bank Ltd,Financials,10.7711,2770.76
2023-01-31,Aravali Index Fund,Aravali,Index,INE009A01021,Infosys Ltd,IT,9.1293,2348.42
2023-01-31,Aravali Index Fund,Aravali,Index,INE467B01029,Tata Consultancy Services Ltd,IT,7.9144,2035.9
2023-01-31,Aravali Index Fund,Aravali,Index,INE090A01021,ICICI Bank Ltd,Financials,6.956,1789.36
2023-01-31,Aravali Index Fund,Aravali,Index,INE030A01027,Hindustan Unilever Ltd,Consumer,5.9804,1538.4
2023-01-31,Aravali Index Fund,Aravali,Index,INE062A01020,State Bank of India,Financials,5.2538,1351.49
2023-01-31,Aravali Index Fund,Aravali,Index,INE154A01025,ITC Ltd,Consumer,4.5507,1170.62
2023-01-31,Aravali Index Fund,Aravali,Index,INE018A01030,Larsen & Toubro Ltd,Industrials,4.0326,1037.35
2023-01-31,Aravali Index Fund,Aravali,Index,INE238A01034,Axis Bank Ltd,Financials,3.5869,922.69
2023-01-31,Aravali Index Fund,Aravali,Index,INE585B01010,Maruti Suzuki India Ltd,Auto,3.0341,780.49
2023-01-31,Aravali Index Fund,Aravali,Index,INE397D01024,Bharti Airtel Ltd,Telecom,2.6899,691.95
2023-01-31,Aravali Index Fund,Aravali,Index,INE044A01036,Sun Pharmaceutical Industries Ltd,Healthcare,2.3146,595.41
2023-01-31,Aravali Index Fund,Aravali,Index,CASH_EQV,Cash and Equivalents,Cash and Equivalents,2.2894,588.93
2023-01-31,Aravali Index Fund,Aravali,Index,INE192A01025,Tata Consumer Products Ltd,Consumer,2.0061,516.05
2023-01-31,Aravali Index Fund,Aravali,Index,INE860A01027,HCL Technologies Ltd,IT,1.7605,452.87
2023-01-31,Aravali Index Fund,Aravali,Index,INE481G01011,UltraTech Cement Ltd,Materials,1.558,400.78
2023-01-31,Aravali Index Fund,Aravali,Index,INE669C01036,Tech Mahindra Ltd,IT,1.353,348.05
2023-01-31,Aravali Index Fund,Aravali,Index,INE522F01014,Coal India Ltd,Energy,1.1637,299.35
2023-01-31,Aravali Index Fund,Aravali,Index,INE213A01029,Oil and Natural Gas Corporation Ltd,Energy,0.9766,251.22
2023-01-31,Aravali Index Fund,Aravali,Index,INE089A01023,Dr Reddy Laboratories Ltd,Healthcare,0.8906,229.1
2023-01-31,Aravali Index Fund,Aravali,Index,INE101A01026,Mahindra & Mahindra Ltd,Auto,0.766,197.05
2023-01-31,Aravali Index Fund,Aravali,Index,INE155A01022,Tata Motors Ltd,Auto,0.6522,167.77
2023-01-31,Aravali Index Fund,Aravali,Index,INE752E01010,Power Grid Corporation of India Ltd,Utilities,0.5629,144.8
2023-01-31,Aravali Index Fund,Aravali,Index,INE361B01024,Divi Laboratories Ltd,Healthcare,0.5104,131.3
2023-01-31,Aravali Index Fund,Aravali,Index,INE001A01036,Housing Development Finance Corp Ltd,Financials,0.4415,113.57
2023-01-31,Aravali Index Fund,Aravali,Index,INE095A01012,IndusInd Bank Ltd,Financials,0.3733,96.03
2023-01-31,Aravali Index Fund,Aravali,Index,INE216A01030,Britannia Industries Ltd,Consumer,0.337,86.69
2023-01-31,Aravali Index Fund,Aravali,Index,INE028A01039,Bank of Baroda,Financials,0.2885,74.21
2023-01-31,Aravali Index Fund,Aravali,Index,INE742F01042,Adani Ports and SEZ Ltd,Industrials,0.252,64.82
2023-01-31,Aravali Index Fund,Aravali,Index,INE029A01011,Bharat Petroleum Corporation Ltd,Energy,0.2512,64.62
2023-01-31,Aravali Index Fund,Aravali,Index,INE271C01023,DLF Ltd,Real Estate,0.2506,64.46
2023-01-31,Aravali Index Fund,Aravali,Index,INE038A01020,Hindalco Industries Ltd,Materials,0.2499,64.28
2023-01-31,Aravali Index Fund,Aravali,Index,INE159A01016,GlaxoSmithKline Pharma Ltd,Healthcare,0.2498,64.26
2023-01-31,Aravali Index Fund,Aravali,Index,INE918I01026,Bajaj Finserv Ltd,Financials,0.2483,63.87
2023-01-31,Aravali Index Fund,Aravali,Index,INE917I01010,Bajaj Auto Ltd,Auto,0.248,63.8
2023-01-31,Aravali Index Fund,Aravali,Index,INE239A01016,Nestle India Ltd,Consumer,0.2465,63.41
2023-01-31,Aravali Index Fund,Aravali,Index,INE733E01010,NTPC Ltd,Utilities,0.2461,63.31
2023-01-31,Aravali Index Fund,Aravali,Index,INE081A01020,Tata Steel Ltd,Materials,0.2451,63.05
2023-01-31,Aravali Index Fund,Aravali,Index,INE114A01011,Steel Authority of India Ltd,Materials,0.2449,63.0
2023-01-31,Aravali Index Fund,Aravali,Index,INE280A01028,Titan Company Ltd,Consumer,0.244,62.77
2023-01-31,Aravali Index Fund,Aravali,Index,INE158A01026,Hero MotoCorp Ltd,Auto,0.2436,62.66
2023-01-31,Aravali Index Fund,Aravali,Index,INE663F01024,Info Edge India Ltd,IT,0.2434,62.61
2023-01-31,Aravali Index Fund,Aravali,Index,INE134E01011,Power Finance Corporation Ltd,Financials,0.2431,62.54
2023-01-31,Aravali Index Fund,Aravali,Index,INE154A01033,Adani Enterprises Ltd,Industrials,0.2429,62.48
2023-01-31,Aravali Index Fund,Aravali,Index,INE787D01026,Bajaj Finance Ltd,Financials,0.2418,62.2
2023-01-31,Aravali Index Fund,Aravali,Index,INE752H01013,Zomato Ltd,Consumer,0.2413,62.07
2023-01-31,Aravali Index Fund,Aravali,Index,INE795G01014,HDFC Life Insurance Company Ltd,Financials,0.2412,62.05
2023-01-31,Aravali Index Fund,Aravali,Index,INE059A01026,Cipla Ltd,Healthcare,0.2404,61.84
2023-01-31,Aravali Index Fund,Aravali,Index,INE437A01024,Apollo Hospitals Enterprise Ltd,Healthcare,0.2404,61.84
2023-01-31,Aravali Index Fund,Aravali,Index,INE066A01021,Eicher Motors Ltd,Auto,0.2398,61.69
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE002A01018,Reliance Industries Ltd,Energy,8.7125,516.39
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE040A01034,HDFC Bank Ltd,Financials,8.2119,486.72
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE009A01021,Infosys Ltd,IT,7.5405,446.93
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE467B01029,Tata Consultancy Services Ltd,IT,6.4249,380.8
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE090A01021,ICICI Bank Ltd,Financials,6.0341,357.64
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE030A01027,Hindustan Unilever Ltd,Consumer,5.56,329.54
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE062A01020,State Bank of India,Financials,4.9746,294.84
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE154A01025,ITC Ltd,Consumer,4.4492,263.7
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE018A01030,Larsen & Toubro Ltd,Industrials,3.9302,232.94
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE238A01034,Axis Bank Ltd,Financials,3.7717,223.55
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE585B01010,Maruti Suzuki India Ltd,Auto,3.397,201.34
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE397D01024,Bharti Airtel Ltd,Telecom,3.0469,180.59
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE192A01025,Tata Consumer Products Ltd,Consumer,2.8934,171.49
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,CASH_EQV,Cash and Equivalents,Cash and Equivalents,2.5779,152.79
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE101A01026,Mahindra & Mahindra Ltd,Auto,2.4961,147.94
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE752E01010,Power Grid Corporation of India Ltd,Utilities,2.3082,136.81
2023-01-31,Aravali Large Cap Fund,Aravali,Large Cap,INE361B01024,Divi Laboratories Ltd,Healthcare,2.1667,128.42
